threshold,precision,recall,f1
0.10,0.2253,0.9891,0.3671
0.15,0.2787,0.9845,0.4344
0.20,0.3238,0.9800,0.4868
0.25,0.3630,0.9752,0.5291
0.30,0.3977,0.9704,0.5642
0.35,0.4294,0.9650,0.5943
0.40,0.4588,0.9591,0.6207
0.45,0.4864,0.9524,0.6440
0.50,0.5133,0.9449,0.6652
0.55,0.5392,0.9366,0.6844
0.60,0.5653,0.9269,0.7023
0.65,0.5920,0.9147,0.7188
0.70,0.6191,0.9002,0.7336
0.75,0.6485,0.8807,0.7469
0.80,0.6804,0.8553,0.7579
0.85,0.7171,0.8182,0.7643
0.90,0.7620,0.7597,0.7608
